name,has_yaml,copies,description,kept_source_path,other_copy_paths
360-feedback,yes,1,"Design, administer, and analyze 360-degree feedback surveys for leadership development",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\human-resources\skills\360-feedback\SKILL.md,
6sense-intent,yes,1,6sense intent data and anonymous buyer identification platform,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\sales\skills\6sense-intent\SKILL.md,
A/B Test Design,yes,1,Statistical experiment design and analysis capabilities for product experimentation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\product-management\skills\ab-test-design\SKILL.md,
A/B Test Statistical Analyzer,yes,1,Performs statistical analysis for A/B testing experiments,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-engineering-analytics\skills\ab-test-statistical-analyzer\SKILL.md,
a11y-debugging,yes,1,"Uses Chrome DevTools MCP for accessibility (a11y) debugging and auditing based on web.dev guidelines. Use when testing semantic HTML, ARIA labels, focus states, keyboard navigation, tap targets, and color contrast.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\chrome-devtools-mcp\0.22.0\skills\a11y-debugging\SKILL.md,
a3-problem-solver,yes,1,A3 problem-solving and status reporting skill with structured thinking and coaching support,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\operations\skills\a3-problem-solver\SKILL.md,
a3-problem-solver,yes,1,A3 problem-solving skill for structured problem analysis and countermeasure development.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\industrial-engineering\skills\a3-problem-solver\SKILL.md,
ab-testing,yes,1,A/B testing skill for player segmentation.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\ab-testing\SKILL.md,
abc-xyz-classifier,yes,1,Multi-dimensional inventory classification skill combining value (ABC) and demand variability (XYZ) analysis for differentiated policies,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\logistics\skills\abc-xyz-classifier\SKILL.md,
abstract-domain-library,yes,1,Library of abstract domains for static analysis and abstract interpretation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\computer-science\skills\abstract-domain-library\SKILL.md,
academic-writing-assistant,yes,1,Skill for assisting with academic and scientific writing,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\scientific-discovery\skills\academic-writing-assistant\SKILL.md,
academic-writing-publication,yes,1,"Prepare manuscripts following APA, ASA, or discipline-specific guidelines with proper reporting standards and peer review navigation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\social-sciences\skills\academic-writing-publication\SKILL.md,
access,yes,1,"Manage Discord channel access — approve pairings, edit allowlists, set DM/group policy. Use when the user asks to pair, approve someone, check who's allowed, or change policy for the Discord channel.",C:\Users\Treml\.claude\plugins\marketplaces\claude-plugins-official\external_plugins\discord\skills\access\SKILL.md,
access,yes,1,"Manage iMessage channel access — approve pairings, edit allowlists, set DM/group policy. Use when the user asks to pair, approve someone, check who's allowed, or change policy for the iMessage channel.",C:\Users\Treml\.claude\plugins\marketplaces\claude-plugins-official\external_plugins\imessage\skills\access\SKILL.md,
access,yes,1,"Manage Telegram channel access — approve pairings, edit allowlists, set DM/group policy. Use when the user asks to pair, approve someone, check who's allowed, or change policy for the Telegram channel.",C:\Users\Treml\.claude\plugins\marketplaces\claude-plugins-official\external_plugins\telegram\skills\access\SKILL.md,
accessibility-compliance,yes,1,"Ensure cultural programs and facilities meet ADA requirements and universal design principles including accommodations, assistive technologies, and inclusive practices",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\arts-culture\skills\accessibility-compliance\SKILL.md,
accessibility-compliance-auditing,yes,1,"Evaluate learning materials and technology for WCAG, Section 508, and accessibility compliance with remediation recommendations",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\education\skills\accessibility-compliance-auditing\SKILL.md,
accessibility-games,yes,1,Game accessibility skill for colorblind modes and control remapping.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\accessibility-games\SKILL.md,
accessibility-report,yes,1,Generate accessibility compliance reports including VPAT and ACR documents,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\ux-ui-design\skills\accessibility-report\SKILL.md,
accessibility-test-runner,yes,1,Run accessibility audits with axe-core and screen reader testing for desktop applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\accessibility-test-runner\SKILL.md,
accessibility-testing,yes,1,"Mobile accessibility testing skill for WCAG compliance, VoiceOver/TalkBack validation, dynamic type support, color contrast analysis, and accessibility auditing across iOS and Android platforms.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\mobile-development\skills\accessibility-testing\SKILL.md,
account-reconciliation-automator,yes,1,Automated account reconciliation skill with matching algorithms and exception handling,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\finance-accounting\skills\account-reconciliation-automator\SKILL.md,
accreditation-tracer-simulation,yes,1,Simulate Joint Commission tracer methodology to assess compliance with accreditation standards across patient care processes and support systems,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\healthcare\skills\accreditation-tracer-simulation\SKILL.md,
acmg-variant-classifier,yes,1,ACMG/AMP variant classification skill for systematic pathogenicity assessment,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\bioinformatics\skills\acmg-variant-classifier\SKILL.md,
action-item-tracker,yes,1,"Tracks board action items, follow-ups, commitments across companies",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\venture-capital\skills\action-item-tracker\SKILL.md,
actionable-error-formatter,yes,1,Format errors with actionable fix suggestions and documentation links,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\actionable-error-formatter\SKILL.md,
