root,name,has_yaml,description,source_path
claude,360-feedback,yes,"Design, administer, and analyze 360-degree feedback surveys for leadership development",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\human-resources\skills\360-feedback\SKILL.md
claude,6sense-intent,yes,6sense intent data and anonymous buyer identification platform,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\sales\skills\6sense-intent\SKILL.md
claude,A/B Test Design,yes,Statistical experiment design and analysis capabilities for product experimentation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\product-management\skills\ab-test-design\SKILL.md
claude,A/B Test Statistical Analyzer,yes,Performs statistical analysis for A/B testing experiments,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-engineering-analytics\skills\ab-test-statistical-analyzer\SKILL.md
claude,a11y-debugging,yes,"Uses Chrome DevTools MCP for accessibility (a11y) debugging and auditing based on web.dev guidelines. Use when testing semantic HTML, ARIA labels, focus states, keyboard navigation, tap targets, and color contrast.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\chrome-devtools-mcp\0.22.0\skills\a11y-debugging\SKILL.md
claude,a3-problem-solver,yes,A3 problem-solving skill for structured problem analysis and countermeasure development.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\industrial-engineering\skills\a3-problem-solver\SKILL.md
claude,a3-problem-solver,yes,A3 problem-solving and status reporting skill with structured thinking and coaching support,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\operations\skills\a3-problem-solver\SKILL.md
claude,ab-testing,yes,A/B testing skill for player segmentation.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\ab-testing\SKILL.md
claude,abc-xyz-classifier,yes,Multi-dimensional inventory classification skill combining value (ABC) and demand variability (XYZ) analysis for differentiated policies,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\logistics\skills\abc-xyz-classifier\SKILL.md
claude,abstract-domain-library,yes,Library of abstract domains for static analysis and abstract interpretation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\computer-science\skills\abstract-domain-library\SKILL.md
claude,academic-writing-assistant,yes,Skill for assisting with academic and scientific writing,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\scientific-discovery\skills\academic-writing-assistant\SKILL.md
claude,academic-writing-publication,yes,"Prepare manuscripts following APA, ASA, or discipline-specific guidelines with proper reporting standards and peer review navigation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\social-sciences\skills\academic-writing-publication\SKILL.md
